backdrop_path,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,vote_average,vote_count
https://image.tmdb.org/t/p/w1280/kJHEPw3itVz3RmVh4B2PwIVjn3b.jpg,Arknights: PRELUDE TO DAWN,ja,アークナイツ【黎明前奏/PRELUDE TO DAWN】,"In the land of Terra, natural disasters of unknown causes have been occurring irregularly in many areas. Therefore, the majority of the people, in order to escape those natural disasters, came to live in mobile cities developed over the years. The Originium left behind at the site of such Catastrophes, has led to the rapid progress of civilization due to their immense energy. But it also brought something else with it — an incurable disease called Oripathy. Because the bodies of those with Oripathy gradually crystalize and become a new source of infection at the time of death, in many countries, the Infected are subject to persecution under regimes of segregation and forced labor. Those who were oppressed by the governments are starting to rebel. Rhodes Island, a pharmaceutical company researching a cure for Oripathy, takes up their arms and starts a conquest trying to save all the people from the disease.",https://image.tmdb.org/t/p/w1280/bOHwf20OzBVBrhX31MyUdxQR0d2.jpg,tv,"[16, 10759, 18, 10765]",42.669,2022-10-29,7.0,3
https://image.tmdb.org/t/p/w1280/bZGAX8oMDm3Mo5i0ZPKh9G2OcaO.jpg,Loki,en,Loki,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",https://image.tmdb.org/t/p/w1280/kEl2t3OhXc3Zb9FBh1AuYzRTgZp.jpg,tv,"[18, 10765]",160.969,2021-06-09,8.175,9387
https://image.tmdb.org/t/p/w1280/rSPI0pQ9iHjv0hQMbv0UYeDlfCI.jpg,The Bear,en,The Bear,"Carmen “Carmy” Berzatto, a young chef from the fine dining world, comes home to Chicago to run his family sandwich shop after a heartbreaking death. As Carmy fights to transform the restaurant and himself, his rough-around-the-edges kitchen crew ultimately reveal themselves as his chosen family.",https://image.tmdb.org/t/p/w1280/rs1DBsHP2DWEEqqXPwfkKbjAHs3.jpg,tv,[18],212.605,2022-06-23,8.309,131
https://image.tmdb.org/t/p/w1280/uEaKtFrTCeBJFPlwESqzZ4QMYK1.jpg,The Office,en,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",https://image.tmdb.org/t/p/w1280/qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg,tv,[35],120.909,2005-03-24,8.582,2779
https://image.tmdb.org/t/p/w1280/7w165QdHmJuTHSQwEyJDBDpuDT7.jpg,Prison Break,en,Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.",https://image.tmdb.org/t/p/w1280/5E1BhkCgjLBlqx557Z5yzcN0i88.jpg,tv,"[10759, 80, 18]",194.836,2005-08-29,8.085,4017
https://image.tmdb.org/t/p/w1280/e1COg7fMP4cZLvb5Vh4RQhQdBN2.jpg,Bargain,ko,몸값,"Based on the short film of the same name, ‘Bargain’ is a disaster thriller that unfolds when a great earthquake hits the building where ‘Ransom’ was negotiated for different reasons. The merciless struggle of human beings to survive in the chaos created by complete disconnection from the outside world is drawn in an interesting way.",https://image.tmdb.org/t/p/w1280/4fc7GnYYg6fAQetPPgW6kmwl07g.jpg,tv,"[18, 80]",34.444,2022-10-28,9.0,2
https://image.tmdb.org/t/p/w1280/5PUo6C8LAzcTzkuPKgLXuUFjafi.jpg,Sword Art Online,ja,ソードアート・オンライン,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",https://image.tmdb.org/t/p/w1280/mK9zGGk90VmHLOnK79sqlGFjZjW.jpg,tv,"[16, 10765, 10759]",67.248,2012-07-08,8.262,1406
https://image.tmdb.org/t/p/w1280/oZMEWCcnFWGdp4W4ICdJgkw1RYf.jpg,1899,en,1899,Passengers on an immigrant ship traveling to the new continent get caught in a mysterious riddle when they find a second vessel adrift on the open sea.,https://image.tmdb.org/t/p/w1280/8KGvYHQNOamON6ufQGjyhkiVn1V.jpg,tv,"[9648, 18]",87.578,2022-11-17,0.0,0
https://image.tmdb.org/t/p/w1280/fGux8Q4Cs9PsT9onSBF3WqjwbH3.jpg,Romantic Killer,ja,ロマンティック・キラー,"Living her best single life, romance is the last thing on Anzu's mind — until a tiny match-making wizard suddenly turns her life into a clichéd romcom.",https://image.tmdb.org/t/p/w1280/ocCtP4MdXE0keyfmrt6X4JRbhmy.jpg,tv,"[16, 35]",28.086,2022-10-27,8.908,38
https://image.tmdb.org/t/p/w1280/fqzn69QKLnil571CWxoWlNaf89N.jpg,Daniel Spellbound,en,Daniel Spellbound,"In New York City, a teenage tracker makes his living selling hard-to-find mystical items to sorcerers — but dealing in magic can be risky business.",https://image.tmdb.org/t/p/w1280/83jBawRjY6YF8RjoopVZ92UvFYM.jpg,tv,"[10759, 16]",16.367,2022-10-27,8.3,7
